Stars,Title,Description,label,Sentiment
5.0,"5.0 out of 5 stars
Oppo mobile is very nice",Very very niceVery good,CG,Positive
4.0,"4.0 out of 5 stars
Good",All over good,CG,Positive
5.0,"5.0 out of 5 stars
Awesome",Really good,OR,Positive
1.0,"1.0 out of 5 stars
Not working good",No a good product battery not working full day Iback it I play three day and backNot working good,OR,Neutral
1.0,"1.0 out of 5 stars
Third Class quality camera","If you want your images must be impress then please Don't buy it,camera quality is very poor.Its give only whities images,Display touch not so smooth while using",OR,Neutral
5.0,"5.0 out of 5 stars
Oppo mobile is very nice",Very very niceVery good,CG,Positive
4.0,"4.0 out of 5 stars
Good",All over good,CG,Positive
5.0,"5.0 out of 5 stars
Awesome",Really good,OR,Positive
1.0,"1.0 out of 5 stars
Not working good",No a good product battery not working full day Iback it I play three day and backNot working good,OR,Neutral
1.0,"1.0 out of 5 stars
Third Class quality camera","If you want your images must be impress then please Don't buy it,camera quality is very poor.Its give only whities images,Display touch not so smooth while using",OR,Neutral
5.0,"5.0 out of 5 stars
Oppo mobile is very nice",Very very niceVery good,CG,Positive
4.0,"4.0 out of 5 stars
Good",All over good,CG,Positive
5.0,"5.0 out of 5 stars
Awesome",Really good,OR,Positive
1.0,"1.0 out of 5 stars
Not working good",No a good product battery not working full day Iback it I play three day and backNot working good,OR,Neutral
1.0,"1.0 out of 5 stars
Third Class quality camera","If you want your images must be impress then please Don't buy it,camera quality is very poor.Its give only whities images,Display touch not so smooth while using",OR,Neutral
5.0,"5.0 out of 5 stars
Oppo mobile is very nice",Very very niceVery good,CG,Positive
4.0,"4.0 out of 5 stars
Good",All over good,CG,Positive
5.0,"5.0 out of 5 stars
Awesome",Really good,OR,Positive
1.0,"1.0 out of 5 stars
Not working good",No a good product battery not working full day Iback it I play three day and backNot working good,OR,Neutral
1.0,"1.0 out of 5 stars
Third Class quality camera","If you want your images must be impress then please Don't buy it,camera quality is very poor.Its give only whities images,Display touch not so smooth while using",OR,Neutral
5.0,"5.0 out of 5 stars
Oppo mobile is very nice",Very very niceVery good,CG,Positive
4.0,"4.0 out of 5 stars
Good",All over good,CG,Positive
5.0,"5.0 out of 5 stars
Awesome",Really good,OR,Positive
1.0,"1.0 out of 5 stars
Not working good",No a good product battery not working full day Iback it I play three day and backNot working good,OR,Neutral
1.0,"1.0 out of 5 stars
Third Class quality camera","If you want your images must be impress then please Don't buy it,camera quality is very poor.Its give only whities images,Display touch not so smooth while using",OR,Neutral
