Stars,Title,Description,label,Sentiment
1.0,"1.0 out of 5 stars
Not working","Product is not working as expected. Pls place a return request,  we were out of station when the Product was delivered to our neighbors. When we first opened it after 9 days we found Product not working as expected. I request you pls place a return request.  Very bad Product we can only listen disturbing sound and not what we are speaking.",OR,Negative
5.0,"5.0 out of 5 stars
Best quality","It is very portable for kidsClear soundUpto 50m outdoor rangeEasy to carry for childrenAntenna, speaker microphone, indicator light are thereI am very satisfied with this buying for kids",OR,Neutral
3.0,"3.0 out of 5 stars
Voice not clear. Easily broken and range issues.",It wasn't that good.,OR,Negative
4.0,"4.0 out of 5 stars
Good",Good,OR,Positive
2.0,"2.0 out of 5 stars
Useless..","Not working from the first day... It's waste of money,,, will suggest not to buy...",OR,Negative
1.0,"1.0 out of 5 stars
Scammed by seller","I got a used product in pathetic condition, I will never recommend such low quality products to children ...",OR,Negative
5.0,"5.0 out of 5 stars
Nice toy for kids",Nice toy for my 5 year old kid. He is very happy. Value for money.,OR,Neutral
1.0,"1.0 out of 5 stars
Flimsy quality",There is a lot of static which makes it very noisy. Also the plastic quality is very flimsy but I guess that's why the it is priced low. A big drawback is that each walkie talkie requires 3 batteries.,OR,Negative
3.0,"3.0 out of 5 stars
Good, could have been better",Kids will enjoy such type of product. Concept is really good but voice quality over the walky is not as expected and the noise level could have been lesser.,OR,Neutral
3.0,"3.0 out of 5 stars
Ok",Not as shown in picture. Batteries not included.,OR,Neutral
1.0,"1.0 out of 5 stars
Not working","Product is not working as expected. Pls place a return request,  we were out of station when the Product was delivered to our neighbors. When we first opened it after 9 days we found Product not working as expected. I request you pls place a return request.  Very bad Product we can only listen disturbing sound and not what we are speaking.",OR,Negative
5.0,"5.0 out of 5 stars
Best quality","It is very portable for kidsClear soundUpto 50m outdoor rangeEasy to carry for childrenAntenna, speaker microphone, indicator light are thereI am very satisfied with this buying for kids",OR,Neutral
3.0,"3.0 out of 5 stars
Voice not clear. Easily broken and range issues.",It wasn't that good.,OR,Negative
4.0,"4.0 out of 5 stars
Good",Good,OR,Positive
2.0,"2.0 out of 5 stars
Useless..","Not working from the first day... It's waste of money,,, will suggest not to buy...",OR,Negative
1.0,"1.0 out of 5 stars
Scammed by seller","I got a used product in pathetic condition, I will never recommend such low quality products to children ...",OR,Negative
5.0,"5.0 out of 5 stars
Nice toy for kids",Nice toy for my 5 year old kid. He is very happy. Value for money.,OR,Neutral
1.0,"1.0 out of 5 stars
Flimsy quality",There is a lot of static which makes it very noisy. Also the plastic quality is very flimsy but I guess that's why the it is priced low. A big drawback is that each walkie talkie requires 3 batteries.,OR,Negative
3.0,"3.0 out of 5 stars
Good, could have been better",Kids will enjoy such type of product. Concept is really good but voice quality over the walky is not as expected and the noise level could have been lesser.,OR,Neutral
3.0,"3.0 out of 5 stars
Ok",Not as shown in picture. Batteries not included.,OR,Neutral
1.0,"1.0 out of 5 stars
Not working","Product is not working as expected. Pls place a return request,  we were out of station when the Product was delivered to our neighbors. When we first opened it after 9 days we found Product not working as expected. I request you pls place a return request.  Very bad Product we can only listen disturbing sound and not what we are speaking.",OR,Negative
5.0,"5.0 out of 5 stars
Best quality","It is very portable for kidsClear soundUpto 50m outdoor rangeEasy to carry for childrenAntenna, speaker microphone, indicator light are thereI am very satisfied with this buying for kids",OR,Neutral
3.0,"3.0 out of 5 stars
Voice not clear. Easily broken and range issues.",It wasn't that good.,OR,Negative
4.0,"4.0 out of 5 stars
Good",Good,OR,Positive
2.0,"2.0 out of 5 stars
Useless..","Not working from the first day... It's waste of money,,, will suggest not to buy...",OR,Negative
1.0,"1.0 out of 5 stars
Scammed by seller","I got a used product in pathetic condition, I will never recommend such low quality products to children ...",OR,Negative
5.0,"5.0 out of 5 stars
Nice toy for kids",Nice toy for my 5 year old kid. He is very happy. Value for money.,OR,Neutral
1.0,"1.0 out of 5 stars
Flimsy quality",There is a lot of static which makes it very noisy. Also the plastic quality is very flimsy but I guess that's why the it is priced low. A big drawback is that each walkie talkie requires 3 batteries.,OR,Negative
3.0,"3.0 out of 5 stars
Good, could have been better",Kids will enjoy such type of product. Concept is really good but voice quality over the walky is not as expected and the noise level could have been lesser.,OR,Neutral
3.0,"3.0 out of 5 stars
Ok",Not as shown in picture. Batteries not included.,OR,Neutral
1.0,"1.0 out of 5 stars
Not working","Product is not working as expected. Pls place a return request,  we were out of station when the Product was delivered to our neighbors. When we first opened it after 9 days we found Product not working as expected. I request you pls place a return request.  Very bad Product we can only listen disturbing sound and not what we are speaking.",OR,Negative
5.0,"5.0 out of 5 stars
Best quality","It is very portable for kidsClear soundUpto 50m outdoor rangeEasy to carry for childrenAntenna, speaker microphone, indicator light are thereI am very satisfied with this buying for kids",OR,Neutral
3.0,"3.0 out of 5 stars
Voice not clear. Easily broken and range issues.",It wasn't that good.,OR,Negative
4.0,"4.0 out of 5 stars
Good",Good,OR,Positive
2.0,"2.0 out of 5 stars
Useless..","Not working from the first day... It's waste of money,,, will suggest not to buy...",OR,Negative
1.0,"1.0 out of 5 stars
Scammed by seller","I got a used product in pathetic condition, I will never recommend such low quality products to children ...",OR,Negative
5.0,"5.0 out of 5 stars
Nice toy for kids",Nice toy for my 5 year old kid. He is very happy. Value for money.,OR,Neutral
1.0,"1.0 out of 5 stars
Flimsy quality",There is a lot of static which makes it very noisy. Also the plastic quality is very flimsy but I guess that's why the it is priced low. A big drawback is that each walkie talkie requires 3 batteries.,OR,Negative
3.0,"3.0 out of 5 stars
Good, could have been better",Kids will enjoy such type of product. Concept is really good but voice quality over the walky is not as expected and the noise level could have been lesser.,OR,Neutral
3.0,"3.0 out of 5 stars
Ok",Not as shown in picture. Batteries not included.,OR,Neutral
1.0,"1.0 out of 5 stars
Not working","Product is not working as expected. Pls place a return request,  we were out of station when the Product was delivered to our neighbors. When we first opened it after 9 days we found Product not working as expected. I request you pls place a return request.  Very bad Product we can only listen disturbing sound and not what we are speaking.",OR,Negative
5.0,"5.0 out of 5 stars
Best quality","It is very portable for kidsClear soundUpto 50m outdoor rangeEasy to carry for childrenAntenna, speaker microphone, indicator light are thereI am very satisfied with this buying for kids",OR,Neutral
3.0,"3.0 out of 5 stars
Voice not clear. Easily broken and range issues.",It wasn't that good.,OR,Negative
4.0,"4.0 out of 5 stars
Good",Good,OR,Positive
2.0,"2.0 out of 5 stars
Useless..","Not working from the first day... It's waste of money,,, will suggest not to buy...",OR,Negative
1.0,"1.0 out of 5 stars
Scammed by seller","I got a used product in pathetic condition, I will never recommend such low quality products to children ...",OR,Negative
5.0,"5.0 out of 5 stars
Nice toy for kids",Nice toy for my 5 year old kid. He is very happy. Value for money.,OR,Neutral
1.0,"1.0 out of 5 stars
Flimsy quality",There is a lot of static which makes it very noisy. Also the plastic quality is very flimsy but I guess that's why the it is priced low. A big drawback is that each walkie talkie requires 3 batteries.,OR,Negative
3.0,"3.0 out of 5 stars
Good, could have been better",Kids will enjoy such type of product. Concept is really good but voice quality over the walky is not as expected and the noise level could have been lesser.,OR,Neutral
3.0,"3.0 out of 5 stars
Ok",Not as shown in picture. Batteries not included.,OR,Neutral
